Dish_Name,Ingredients,Keywords,Calories,Protein,Fiber
Kadai Paneer,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",474.54,22.88,4.31
Medu Vada ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",455.4,14.14,3.48
Samosa ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",191.57,6.5,7.28
Masoor Dal ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",432.36,29.09,2.21
Baingan Bharta ,"green gram, spices, ginger","green gram, spices, ginger",272.06,15.49,3.15
Palak Paneer ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",262.11,24.94,9.72
Pani Puri ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",168.22,19.99,9.34
Pav Bhaji ,"rice, lentils, vegetables","vegetables, lentils, rice",389.5,7.47,5.63
Vada ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",294.81,5.53,8.47
Mutton Rogan Josh ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",389.87,27.52,3.39
Idli ,"okra, onion, spices, oil","onion, oil, spices, okra",210.95,23.35,1.22
Upma ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",285.29,15.15,9.08
Masoor Dal ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",451.78,20,3.14
Pani Puri ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",382.14,10.44,9.08
Pani Puri ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",155.21,12.48,7.97
Rajma Chawal ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",156.15,15.27,9.12
Vegetable Biryani ,"lentils, spices, rice flour","lentils, spices, rice flour",338.27,17.6,7.22
Vada ,"vegetables, spices, rice","vegetables, spices, rice",320.77,13.18,8.82
Chicken Curry ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",371.02,20.18,7.32
Mutton Rogan Josh ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",583.11,18.03,9.22
Palak Paneer ,"okra, onion, spices, oil","onion, oil, spices, okra",374.45,5.32,6.01
Pav Bhaji ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",597.18,11.96,5.65
Masoor Dal ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",567.74,9.06,5.93
Poha ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",515.79,23.2,3.58
Palak Paneer ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",433.9,14.55,6.77
Khichdi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",235.88,27.71,5.72
Undhiyu ,"tapioca, peanuts, spices","peanuts, spices, tapioca",284.35,16.9,7.2
Paneer Butter Masala ,"cabbage, gram flour, spices","cabbage, spices, gram flour",568.81,19.82,9.32
Vegetable Biryani ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",534.81,28.21,6.3
Pesarattu ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",456.58,5.03,1.79
Paneer Butter Masala ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",551.26,17.96,7.71
Vegetable Biryani ,"urad dal, rice flour, spices","urad dal, spices, rice flour",266.01,6.61,9.88
Pav Bhaji ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",401.77,9.66,7.23
Chole Bhature ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",175.14,23.85,2.07
Mutton Rogan Josh ,"urad dal, rice flour, spices","urad dal, spices, rice flour",324.35,19.09,1.9
Dhokla ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",295.1,9.99,1.68
Thepla ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",211.93,7.44,3.11
Samosa ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",476.72,5.1,8.26
Dosa ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",399.53,22.3,3.42
Aloo Paratha ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",401.14,10.5,9.59
Samosa ,"rice, lentils, vegetables","vegetables, lentils, rice",153.55,7.8,8.56
Chole Bhature ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",205.37,16.34,1.74
Mutton Rogan Josh ,"urad dal, rice flour, spices","urad dal, spices, rice flour",404.73,16.83,7.62
Poha ,"cabbage, gram flour, spices","cabbage, spices, gram flour",221.75,19.02,9.08
Medu Vada ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",400.16,26.94,8.4
Upma ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",353.7,5.8,3.79
Sabudana Khichdi ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",568.16,14.86,7.84
Upma ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",519.18,10.01,5.59
Medu Vada ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",456.75,26.49,6
Rajma Chawal ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",558.8,20.55,8.78
Bhindi Masala ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",380.38,10.23,8.54
Palak Paneer ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",256.91,17.72,2.98
Khichdi ,"urad dal, rice flour, spices","urad dal, spices, rice flour",421.09,29.66,5.81
Rajma Chawal ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",197.91,5.56,2.56
Bhel Puri ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",551.99,6.63,1.92
Thepla ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",540.78,24.64,2.64
Kadai Paneer ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",509.72,5.86,2.32
Samosa ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",493.51,14.03,1.4
Pesarattu ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",211.37,29.78,5.57
Upma ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",468.99,7.13,5.01
Kadai Paneer ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",392.86,17.05,1.78
Thepla ,"vegetables, spices, rice","vegetables, spices, rice",335.12,17.39,9.75
Upma ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",503.43,19.98,4.22
Vada ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",193.04,26.72,9.66
Chole Bhature ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",284.45,9.22,1.73
Khandvi ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",468.58,19.22,3.1
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",358.92,8.09,8.07
Kadai Paneer ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",249.74,15.95,3.36
Vada ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",193.86,15.12,4.36
Khandvi ,"green gram, spices, ginger","green gram, spices, ginger",404.56,23.95,4.03
Misal Pav ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",394.27,18.84,6.62
Rajma Chawal ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",282.85,29.04,4.57
Poha ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",299.68,28.85,6.37
Undhiyu ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",448.29,27.79,2.51
Samosa ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",294.16,24.58,5.83
Sabudana Khichdi ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",403.61,10.67,2.68
Aloo Paratha ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",569.08,26.35,4.07
Aloo Paratha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",333.17,10.63,5.32
Khandvi ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",558.61,21.73,7.13
Pav Bhaji ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",249.87,13.3,5.38
Khandvi ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",386.73,9.03,6.83
Masoor Dal ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",280.82,15.23,4.09
Vegetable Biryani ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",195.29,8.24,5.63
Dhokla ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",224.89,18.97,1.47
Khandvi ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",180.91,16.43,7.07
Paneer Butter Masala ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",256.82,28.56,5.19
Bhel Puri ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",154.68,5.25,8.64
Bhel Puri ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",507.15,27.02,3.62
Aloo Paratha ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",271.42,10.91,1.2
Rajma Chawal ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",549.23,26.15,1.28
Pesarattu ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",305.3,11.93,4.1
Palak Paneer ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",420.86,20.07,9.46
Thepla ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",382.49,7.8,9.43
Upma ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",339.3,19.67,9.51
Vada ,"gram flour, spices, yogurt","yogurt, spices, gram flour",547.72,21.97,5.95
Aloo Paratha ,"green gram, spices, ginger","green gram, spices, ginger",437.09,18.94,8.61
Sev Puri ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",427.68,14.4,5.92
Palak Paneer ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",235.95,27.99,1.68
Baingan Bharta ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",552.46,7.25,6.94
Baingan Bharta ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",195.89,9.45,3.66
Paneer Butter Masala ,"urad dal, rice flour, spices","urad dal, spices, rice flour",157.64,21.32,7.05
Bhindi Masala ,"cabbage, gram flour, spices","cabbage, spices, gram flour",443.31,23.82,3.83
Baingan Bharta ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",280.82,7.36,3.42
Samosa ,"gram flour, spices, yogurt","yogurt, spices, gram flour",501.57,25.97,7.53
Khichdi ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",202.36,10.27,5.07
Bhel Puri ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",460.93,16.04,3.23
Bhel Puri ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",226.89,28.75,6.25
Idli ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",321.73,10.37,2.37
Sabudana Khichdi ,"cabbage, gram flour, spices","cabbage, spices, gram flour",470.48,25.47,6.26
Pani Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",485.38,10.18,7.04
Sabudana Khichdi ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",512.23,16.42,2.64
Vegetable Biryani ,"green gram, spices, ginger","green gram, spices, ginger",576.17,7.79,1.71
Baingan Bharta ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",310.16,14.56,5.66
Vada ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",162.42,10.14,1.98
Baingan Bharta ,"urad dal, rice flour, spices","urad dal, spices, rice flour",432.49,8.42,4.35
Misal Pav ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",382.04,6.94,9.85
Chicken Curry ,"okra, onion, spices, oil","onion, oil, spices, okra",533.13,20.09,9.61
Vegetable Biryani ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",571.16,25.13,5.05
Idli ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",258.53,19.64,2.9
Palak Paneer ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",268.16,17,7.07
Medu Vada ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",492.53,28.35,8.41
Bhindi Masala ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",286.92,13.62,3.9
Vada ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",449.61,9.81,8.29
Chole Bhature ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",534.21,6.01,5.52
Idli ,"rice, lentils, vegetables","vegetables, lentils, rice",473.25,5.9,1.23
Medu Vada ,"tapioca, peanuts, spices","peanuts, spices, tapioca",313.88,6.75,2.92
Tandoori Chicken ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",337.88,5.01,6.28
Medu Vada ,"vegetables, spices, rice","vegetables, spices, rice",434.45,14.64,4.1
Aloo Paratha ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",330.41,17.15,2.88
Masoor Dal ,"urad dal, rice flour, spices","urad dal, spices, rice flour",428.56,9.85,2.58
Thepla ,"lentils, spices, rice flour","lentils, spices, rice flour",188.08,7.75,7.64
Mutton Rogan Josh ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",562.8,7.77,3.43
Dosa ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",315.25,10.26,3.43
Kadai Paneer ,"rice, lentils, vegetables","vegetables, lentils, rice",458.71,22.29,2.81
Vegetable Biryani ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",313.74,18.26,8.97
Dhokla ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",229.28,27.73,9.07
Chicken Curry ,"gram flour, spices, yogurt","yogurt, spices, gram flour",341.15,6.94,2.04
Mutton Rogan Josh ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",433.84,16.49,5.69
Kadai Paneer ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",274.7,28.31,1.76
Poha ,"urad dal, rice flour, spices","urad dal, spices, rice flour",434.46,20.46,7.68
Idli ,"green gram, spices, ginger","green gram, spices, ginger",403.67,22.75,2.96
Bhel Puri ,"okra, onion, spices, oil","onion, oil, spices, okra",567.37,24.18,6.9
Chole Bhature ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",508.47,16.96,4.51
Samosa ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",382.57,14.96,2.68
Samosa ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",325.05,22.77,5.56
Bhindi Masala ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",404.47,22.21,5.51
Paneer Butter Masala ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",494.86,11.92,2.87
Vegetable Biryani ,"green gram, spices, ginger","green gram, spices, ginger",185.18,17.35,9.49
Khichdi ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",239.41,21.87,6.45
Masoor Dal ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",171.13,7.74,8.75
Sev Puri ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",287.49,23.02,1.85
Khichdi ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",430.4,6.77,1.34
Sev Puri ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",311.93,21.03,4.34
Poha ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",181.91,11.42,1.79
Tandoori Chicken ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",212.28,26.13,1.33
Bhindi Masala ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",544.17,10.89,3.59
Bhindi Masala ,"rice, lentils, vegetables","vegetables, lentils, rice",584.03,26.42,8.51
Pani Puri ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",527.25,26.72,5.51
Baingan Bharta ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",449.7,29.33,9.38
Vegetable Biryani ,"okra, onion, spices, oil","onion, oil, spices, okra",351.1,29.2,7.4
Samosa ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",164.11,6.44,9.26
Rajma Chawal ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",527.56,25.5,7.01
Medu Vada ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",256.8,25.51,7.64
Kadai Paneer ,"cabbage, gram flour, spices","cabbage, spices, gram flour",253.71,20.63,7
Mutton Rogan Josh ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",192.05,19.15,8.72
Paneer Butter Masala ,"vegetables, spices, rice","vegetables, spices, rice",502.96,22,7.02
Pesarattu ,"urad dal, rice flour, spices","urad dal, spices, rice flour",348.31,29.68,1.78
Masoor Dal ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",326.1,12.16,2.99
Kadai Paneer ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",377.71,11.03,3.31
Samosa ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",482.19,24.61,3.24
Khandvi ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",219.05,9.75,4.15
Tandoori Chicken ,"rice, lentils, vegetables","vegetables, lentils, rice",336.69,27.11,5.03
Chicken Curry ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",463.85,13.32,4.9
Dosa ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",512.06,22.99,6.45
Vegetable Biryani ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",456.26,23.25,8.78
Medu Vada ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",287.54,9.9,7.95
Vegetable Biryani ,"urad dal, rice flour, spices","urad dal, spices, rice flour",297.81,28.46,7.65
Idli ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",158.99,25.11,1.74
Kadai Paneer ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",297.05,20.12,7.87
Pav Bhaji ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",217.83,26.52,8.04
Mutton Rogan Josh ,"vegetables, spices, rice","vegetables, spices, rice",211.41,18.83,6.11
Upma ,"gram flour, spices, yogurt","yogurt, spices, gram flour",222.62,26.68,4.08
Dosa ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",473.79,19.76,3.63
Medu Vada ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",319.13,11.53,9.83
Kadai Paneer ,"vegetables, spices, rice","vegetables, spices, rice",157.2,12.17,7.39
Chicken Curry ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",555.24,21.91,9.41
Upma ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",220.3,17.7,4.49
Dhokla ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",465.45,7.72,7.17
Chole Bhature ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",420.67,20.73,6.43
Dhokla ,"urad dal, rice flour, spices","urad dal, spices, rice flour",239.71,25.47,5.43
Khandvi ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",197.63,15.79,7.63
Palak Paneer ,"tapioca, peanuts, spices","peanuts, spices, tapioca",550.76,27.56,7.58
Idli ,"green gram, spices, ginger","green gram, spices, ginger",221.56,13.4,6.16
Poha ,"cabbage, gram flour, spices","cabbage, spices, gram flour",431.8,14.62,1.37
Medu Vada ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",158.56,24.52,1
Masoor Dal ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",330.65,15.75,3.97
Pav Bhaji ,"urad dal, rice flour, spices","urad dal, spices, rice flour",150.29,12.46,7.15
Handvo ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",530.73,20.17,8.49
Bhindi Masala ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",313.42,25.13,8.31
Khandvi ,"green gram, spices, ginger","green gram, spices, ginger",596.68,27.91,7.92
Handvo ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",276.06,23.48,9.52
Dosa ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",314.74,18.03,7.26
Idli ,"green gram, spices, ginger","green gram, spices, ginger",406.18,6.33,2.93
Kadai Paneer ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",475.46,20.32,4.28
Khichdi ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",359.44,21.21,9.13
Idli ,"vegetables, spices, rice","vegetables, spices, rice",163.55,23.1,2.21
Sabudana Khichdi ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",197.09,8.17,4.38
Sabudana Khichdi ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",243.28,6.34,8.99
Dhokla ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",451.5,22.07,9.28
Undhiyu ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",230.01,17.52,1.93
Khandvi ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",405.43,6.62,6.17
Handvo ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",377.16,29.56,9.76
Pav Bhaji ,"gram flour, spices, yogurt","yogurt, spices, gram flour",582.76,18.76,9.06
Chole Bhature ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",349.92,14.16,3.09
Bhindi Masala ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",253.07,11.56,4.19
Rajma Chawal ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",216.7,14.59,6.87
Chole Bhature ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",311.4,22.71,3.89
Palak Paneer ,"gram flour, spices, yogurt","yogurt, spices, gram flour",496.51,16.99,8.63
Chole Bhature ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",304.67,24.85,4.8
Samosa ,"gram flour, spices, yogurt","yogurt, spices, gram flour",414.64,27.49,7.14
Mutton Rogan Josh ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",167.77,8.57,7.73
Vegetable Biryani ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",389.73,13.48,4.6
Aloo Paratha ,"lentils, spices, rice flour","lentils, spices, rice flour",578.74,9.11,8.96
Sev Puri ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",371.93,28.6,5.03
Sev Puri ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",524.25,24.2,2.26
Rajma Chawal ,"green gram, spices, ginger","green gram, spices, ginger",213.12,5.32,1.88
Undhiyu ,"urad dal, rice flour, spices","urad dal, spices, rice flour",523.91,5.88,1.29
Baingan Bharta ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",589.34,13.94,4.65
Idli ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",424.57,24.3,4.69
Chole Bhature ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",225.62,18.05,9.52
Pesarattu ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",196.04,23.39,3.44
Vegetable Biryani ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",192.35,15.39,9.16
Sev Puri ,"vegetables, spices, rice","vegetables, spices, rice",470.29,21,2.41
Dosa ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",490.14,23.11,6.52
Samosa ,"gram flour, spices, yogurt","yogurt, spices, gram flour",532.77,23.49,3.8
Misal Pav ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",483.37,15.35,8.4
Chicken Curry ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",184.29,25.52,1.18
Idli ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",203.25,12.89,2.05
Tandoori Chicken ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",202.98,16.62,3.04
Rajma Chawal ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",545.02,14.89,3.56
Pav Bhaji ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",401.33,25.91,5.8
Khandvi ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",485.4,22.81,4.28
Sabudana Khichdi ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",224.68,13.97,9.43
Upma ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",293.21,20.72,9.52
Vegetable Biryani ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",364.81,6.98,7.2
Chole Bhature ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",224.55,7.99,1.68
Chicken Curry ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",597.21,23.86,7.23
