Dish_Name,Ingredients,Keywords,Calories,Protein,Fiber
Undhiyu ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",590.28,7.2,9.17
Sabudana Khichdi ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",186.99,5,5.51
Aloo Paratha ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",200.84,22.1,8.3
Bhindi Masala ,"vegetables, spices, rice","vegetables, spices, rice",472.11,29.87,5.09
Dosa ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",195.71,7.94,1.99
Upma ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",219.16,6.61,1.41
Chicken Curry ,"tapioca, peanuts, spices","peanuts, spices, tapioca",446.6,10.8,4.46
Paneer Butter Masala ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",372.33,14.85,1.87
Medu Vada ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",337.01,26.69,8.16
Palak Paneer ,"gram flour, spices, yogurt","yogurt, spices, gram flour",453.13,27.12,2.04
Pesarattu ,"urad dal, rice flour, spices","urad dal, spices, rice flour",156.43,6.31,9.93
Dosa ,"vegetables, spices, rice","vegetables, spices, rice",542.38,7.42,6.92
Misal Pav ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",339.5,6.7,5.5
Medu Vada ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",333.55,28.48,3.37
Aloo Paratha ,"vegetables, spices, rice","vegetables, spices, rice",590.93,9.41,6.66
Misal Pav ,"rice, lentils, vegetables","vegetables, lentils, rice",362.79,21.52,4.8
Baingan Bharta ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",578.46,24.35,3.16
Handvo ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",225.59,10.97,2.3
Bhindi Masala ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",590.56,21.6,9.83
Pav Bhaji ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",222.67,25.56,5.17
Kadai Paneer ,"rice, lentils, vegetables","vegetables, lentils, rice",423.59,7.59,3.1
Thepla ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",318.73,12.39,6.46
Aloo Paratha ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",542.31,15.04,5.84
Bhel Puri ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",180.59,26.56,5.09
Aloo Paratha ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",187.51,10.66,1
Baingan Bharta ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",575.89,29.9,1.55
Misal Pav ,"urad dal, rice flour, spices","urad dal, spices, rice flour",313.69,20.03,4.34
Upma ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",314.3,19.61,1.01
Dhokla ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",301.42,23.48,4.16
Aloo Paratha ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",595.6,22.37,4.54
Thepla ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",523.22,12.38,4.48
Sabudana Khichdi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",419.84,23.68,8.16
Pav Bhaji ,"tapioca, peanuts, spices","peanuts, spices, tapioca",352.12,15.16,4.57
Misal Pav ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",592.46,19.83,5.14
Aloo Paratha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",221,29.87,4.53
Pesarattu ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",168.16,10.95,4.32
Misal Pav ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",363.8,20.16,8.95
Poha ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",212.82,26,6.29
Masoor Dal ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",289.46,15.21,8.04
Idli ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",299.24,7.38,4.37
Chole Bhature ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",187.81,7,9.09
Idli ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",291.81,12.8,3.21
Sabudana Khichdi ,"rice, lentils, vegetables","vegetables, lentils, rice",152.31,9.54,6.81
Chicken Curry ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",288.45,12.92,6.93
Rajma Chawal ,"tapioca, peanuts, spices","peanuts, spices, tapioca",593.51,10.34,3.73
Aloo Paratha ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",176.08,26.65,6.76
Medu Vada ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",455.49,19.06,5.14
Handvo ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",461.07,26.02,8.81
Vada ,"lentils, spices, rice flour","lentils, spices, rice flour",400.22,20.32,4.01
Dosa ,"cabbage, gram flour, spices","cabbage, spices, gram flour",483.84,24.57,7.94
Poha ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",377.49,15.1,7.52
Bhindi Masala ,"vegetables, spices, rice","vegetables, spices, rice",195.58,28.67,2.11
Pav Bhaji ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",337.79,16.83,8.55
Medu Vada ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",233.51,16.27,6.68
Pani Puri ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",391.95,18.84,9.26
Aloo Paratha ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",475.79,13.27,6.82
Sabudana Khichdi ,"tapioca, peanuts, spices","peanuts, spices, tapioca",542.31,22.34,9.7
Pesarattu ,"tapioca, peanuts, spices","peanuts, spices, tapioca",580.7,28.71,1.47
Poha ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",504.05,5.22,1.32
Dhokla ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",501.25,17.49,3.2
Idli ,"rice, lentils, vegetables","vegetables, lentils, rice",540.26,19.92,3.34
Bhindi Masala ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",501.45,8.35,1.92
Sev Puri ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",340.93,12,6.23
Mutton Rogan Josh ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",384.46,11.65,6.69
Thepla ,"urad dal, rice flour, spices","urad dal, spices, rice flour",150.01,11.01,9.94
Upma ,"okra, onion, spices, oil","onion, oil, spices, okra",200.37,23.61,9.8
Mutton Rogan Josh ,"cabbage, gram flour, spices","cabbage, spices, gram flour",394.1,6.69,1
Paneer Butter Masala ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",428.39,15.01,2.39
Bhel Puri ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",156.49,28.92,5.11
Baingan Bharta ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",247.91,26.47,9.02
Samosa ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",222.65,13.22,1.06
Samosa ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",227.01,29.71,7.29
Pesarattu ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",593.95,15.8,6.82
Dosa ,"tapioca, peanuts, spices","peanuts, spices, tapioca",169.94,18.36,6.3
Aloo Paratha ,"okra, onion, spices, oil","onion, oil, spices, okra",223.61,23.2,3.52
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",503.38,26.18,2.92
Pani Puri ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",270.52,16.58,8.52
Tandoori Chicken ,"green gram, spices, ginger","green gram, spices, ginger",225.73,17.89,5.87
Poha ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",583.51,21.91,5.71
Mutton Rogan Josh ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",589.81,13.49,8.77
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",205.56,8.91,7.19
Rajma Chawal ,"okra, onion, spices, oil","onion, oil, spices, okra",394.66,16.55,7.09
Khandvi ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",374.82,24.28,9.05
Kadai Paneer ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",417.79,12.77,2.66
Upma ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",324.99,7.45,7.83
Pani Puri ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",520.72,28.58,5.89
Vegetable Biryani ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",325.5,20.72,1.4
Thepla ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",395.78,29.63,2.23
Dosa ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",412.61,21.57,1.04
Thepla ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",429.46,8.72,4.05
Palak Paneer ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",311.72,29.07,1.46
Handvo ,"gram flour, spices, yogurt","yogurt, spices, gram flour",520.78,12.21,4.76
Khichdi ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",512.8,8.4,9.38
Poha ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",529.61,24.56,6.43
Paneer Butter Masala ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",251.89,16.95,8.48
Chicken Curry ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",220.14,29.03,7.93
Pani Puri ,"green gram, spices, ginger","green gram, spices, ginger",254.42,21.49,8.59
Dhokla ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",217.47,21.93,2.15
Undhiyu ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",549.67,16.89,9.42
Palak Paneer ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",560.97,25.09,8.87
Kadai Paneer ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",246.67,19.1,3.1
Medu Vada ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",218.07,19.39,8.13
Medu Vada ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",336.2,27.14,1.43
Medu Vada ,"gram flour, spices, yogurt","yogurt, spices, gram flour",258.45,24,1.3
Handvo ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",212.32,14.15,7.12
Medu Vada ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",353.18,26.1,5.76
Vada ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",362.43,21.39,4.37
Pani Puri ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",215.67,17.87,8.41
Khandvi ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",540.35,5.41,8.69
Kadai Paneer ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",422.03,15.07,3.95
Khichdi ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",516.6,21.76,3.42
Poha ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",194.83,16.34,1.43
Medu Vada ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",462.6,25.48,8.85
Baingan Bharta ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",154.77,13.46,8.7
Bhel Puri ,"lentils, spices, rice flour","lentils, spices, rice flour",349.37,9.74,6.42
Samosa ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",423.78,17.97,8.06
Pav Bhaji ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",174.46,29.07,2.84
Dosa ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",473.02,22.91,7.78
Handvo ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",202.42,12.25,8.52
Samosa ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",286.21,18.27,5.48
Palak Paneer ,"lentils, spices, rice flour","lentils, spices, rice flour",535.41,16.25,3.74
Chole Bhature ,"vegetables, spices, rice","vegetables, spices, rice",557.5,23.36,5.65
Vada ,"rice, lentils, vegetables","vegetables, lentils, rice",446.48,5.66,7.39
Khandvi ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",192.63,9.51,6.34
Aloo Paratha ,"vegetables, spices, rice","vegetables, spices, rice",525.46,9.74,7.64
Chole Bhature ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",307.26,22.98,5.13
Aloo Paratha ,"cabbage, gram flour, spices","cabbage, spices, gram flour",537,14.34,6.09
Baingan Bharta ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",426.21,17.7,3.67
Samosa ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",460.45,9.13,3.07
Tandoori Chicken ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",194.42,7.23,2.61
Undhiyu ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",403.52,26.93,2.23
Baingan Bharta ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",474.64,17.32,2.34
Masoor Dal ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",310.03,14.54,2.19
Chole Bhature ,"gram flour, spices, yogurt","yogurt, spices, gram flour",522.34,10.77,2.62
Masoor Dal ,"tapioca, peanuts, spices","peanuts, spices, tapioca",268.39,22.25,2.98
Handvo ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",529.28,14.63,8.98
Vegetable Biryani ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",513.8,13.1,1.66
Dhokla ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",433.99,23.13,4.21
Sev Puri ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",231.04,5.97,5.94
Undhiyu ,"rice, lentils, vegetables","vegetables, lentils, rice",246.44,23.24,6.6
Samosa ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",276.09,25.82,8.79
Chicken Curry ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",212.38,8.46,7.83
Masoor Dal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",265.79,13.45,8.22
Vada ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",425.97,20.59,8.19
Thepla ,"lentils, spices, rice flour","lentils, spices, rice flour",348.54,27.26,5.39
Chicken Curry ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",230.3,24.98,2.34
Bhel Puri ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",483.64,19.16,1.9
Thepla ,"okra, onion, spices, oil","onion, oil, spices, okra",341.6,29.04,3.28
Paneer Butter Masala ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",532.81,22.41,5.71
Idli ,"tapioca, peanuts, spices","peanuts, spices, tapioca",353.06,15.59,1.39
Dosa ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",278.28,5.26,3.92
Samosa ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",539.03,22.82,6.8
Upma ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",362.28,18.6,8.73
Dhokla ,"vegetables, spices, rice","vegetables, spices, rice",437,11.41,8.99
Samosa ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",222.29,25.8,6.16
Paneer Butter Masala ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",419.16,5.84,8.95
Rajma Chawal ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",455.7,14.09,5.59
Aloo Paratha ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",493.7,18.28,5.76
Chicken Curry ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",171.89,14.7,4.35
Paneer Butter Masala ,"rice, lentils, vegetables","vegetables, lentils, rice",408.41,8.42,3.75
Mutton Rogan Josh ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",221.39,24.56,6.83
Chicken Curry ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",486.25,22.96,4.25
Handvo ,"okra, onion, spices, oil","onion, oil, spices, okra",238.72,12.46,8.13
Poha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",403.51,25.22,6.64
Dosa ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",295.92,21.91,5.92
Sev Puri ,"tapioca, peanuts, spices","peanuts, spices, tapioca",414.57,15.41,1.72
Dhokla ,"vegetables, spices, rice","vegetables, spices, rice",559.59,26.19,8.02
Misal Pav ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",508.42,26.46,5.33
Khichdi ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",576.46,16.17,7.58
Samosa ,"gram flour, spices, yogurt","yogurt, spices, gram flour",300.61,6.29,6.67
Baingan Bharta ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",402.73,22.78,6.92
Upma ,"cabbage, gram flour, spices","cabbage, spices, gram flour",595.11,19.4,6.46
Chicken Curry ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",528.78,12.77,9.69
Idli ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",406.81,26.83,4.34
Upma ,"tapioca, peanuts, spices","peanuts, spices, tapioca",209.87,25.51,7.59
Aloo Paratha ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",500.43,6.44,7.09
Chole Bhature ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",252.73,23.43,8.47
Chicken Curry ,"urad dal, rice flour, spices","urad dal, spices, rice flour",254.99,7.06,8.48
Kadai Paneer ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",456.62,20.18,7.37
Aloo Paratha ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",151.17,21.9,5.22
Misal Pav ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",218.41,11.74,1.26
Bhel Puri ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",400.41,13.77,2.31
Upma ,"lentils, spices, rice flour","lentils, spices, rice flour",483.67,8.7,3.38
Tandoori Chicken ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",511.57,9.2,5.19
Pani Puri ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",243.93,7.05,7.53
Thepla ,"cabbage, gram flour, spices","cabbage, spices, gram flour",168.1,13.4,6.88
Undhiyu ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",261.01,28.74,8.21
Chole Bhature ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",380.95,7.52,6.22
Aloo Paratha ,"green gram, spices, ginger","green gram, spices, ginger",580.18,5.63,8.72
Undhiyu ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",326.29,20.62,1.74
Khichdi ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",433.8,26.88,7.9
Bhel Puri ,"green gram, spices, ginger","green gram, spices, ginger",174.13,26.2,6.52
Vegetable Biryani ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",548.85,21.81,1.87
Undhiyu ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",392.71,13.15,1.4
Pesarattu ,"lentils, spices, rice flour","lentils, spices, rice flour",399.65,19.15,1.69
Pani Puri ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",508.63,27.63,2.36
Masoor Dal ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",421.25,7.34,6.93
Bhel Puri ,"lentils, spices, rice flour","lentils, spices, rice flour",247.57,27.8,5.7
Upma ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",320.86,26.1,8.48
Poha ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",385.36,28.87,9.38
Vada ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",262.06,21.17,3.68
Paneer Butter Masala ,"tapioca, peanuts, spices","peanuts, spices, tapioca",298.49,21.78,1.1
Chicken Curry ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",428.82,22.16,1.54
Palak Paneer ,"vegetables, spices, rice","vegetables, spices, rice",500.18,7.94,5.15
Medu Vada ,"vegetables, spices, rice","vegetables, spices, rice",315.56,16.61,2.04
Undhiyu ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",460.12,17.34,2.61
Rajma Chawal ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",208.67,15.17,1.1
Rajma Chawal ,"rice, lentils, vegetables","vegetables, lentils, rice",425.94,7.87,8.05
Pav Bhaji ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",595.85,12.37,4.48
Poha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",314.19,11.41,6.16
Rajma Chawal ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",241.89,28.74,9.78
Tandoori Chicken ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",369.68,15.62,6.91
Thepla ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",451.38,17.3,6.81
Paneer Butter Masala ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",558.68,27,9.92
Pav Bhaji ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",213.87,23.95,8.51
Bhel Puri ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",221.76,19.02,7.31
Samosa ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",352.01,15.01,9.74
Khichdi ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",552.47,15.21,8.82
Chicken Curry ,"urad dal, rice flour, spices","urad dal, spices, rice flour",411.23,11.85,6.82
Sev Puri ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",202.41,17.14,4.79
Dosa ,"lentils, spices, rice flour","lentils, spices, rice flour",400.01,26.06,6.06
Thepla ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",442.99,9.97,8.44
Bhel Puri ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",476.66,11.92,7.47
Sabudana Khichdi ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",283.16,12.99,9.65
Bhel Puri ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",244.13,8.59,9.55
Aloo Paratha ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",480.96,20.35,3.25
Baingan Bharta ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",420.14,16.17,8.59
Chicken Curry ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",427.29,7.29,2.74
Thepla ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",188,21.49,6.37
Chicken Curry ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",526.11,26.27,8.28
Chicken Curry ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",473.25,9.49,6.34
Misal Pav ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",291.14,8.11,5.67
Poha ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",259.93,6.67,4.76
Medu Vada ,"cabbage, gram flour, spices","cabbage, spices, gram flour",193.91,18.03,7.51
Mutton Rogan Josh ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",564.76,28.65,6.05
Bhel Puri ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",411.28,15.68,6.73
Bhindi Masala ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",319.85,29.72,5.43
Handvo ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",250.6,6.14,9.61
Vegetable Biryani ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",197.45,8.09,5.09
Masoor Dal ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",229.18,10.16,8.25
Palak Paneer ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",304.03,22.88,6.99
Bhindi Masala ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",158.23,28.87,5.53
Chole Bhature ,"gram flour, spices, yogurt","yogurt, spices, gram flour",168.93,29.21,6.9
Misal Pav ,"okra, onion, spices, oil","onion, oil, spices, okra",262.74,14.31,2.65
Aloo Paratha ,"rice, lentils, vegetables","vegetables, lentils, rice",437.89,11.62,3.68
Baingan Bharta ,"lentils, spices, rice flour","lentils, spices, rice flour",527.9,16.23,9.45
Vada ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",298.65,16.08,2.4
Sev Puri ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",465.41,5.95,6.71
Pav Bhaji ,"tapioca, peanuts, spices","peanuts, spices, tapioca",373.58,20.09,7.69
Medu Vada ,"urad dal, rice flour, spices","urad dal, spices, rice flour",592.64,27.01,8.94
Bhindi Masala ,"rice, lentils, vegetables","vegetables, lentils, rice",335.47,9.36,2.85
Pani Puri ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",304.68,10.85,1.96
