Dish_Name,Ingredients,Keywords,Calories,Protein,Fiber
Chole Bhature ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",297.84,24.08,5
Baingan Bharta ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",348.61,25.39,4.55
Mutton Rogan Josh ,"lentils, spices, rice flour","lentils, spices, rice flour",215.65,24.94,1.69
Upma ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",580.59,21.97,9.91
Sev Puri ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",278.45,26.08,5.09
Vegetable Biryani ,"cabbage, gram flour, spices","cabbage, spices, gram flour",336.3,29.55,4.94
Khandvi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",234.23,25.26,4.37
Idli ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",342.05,6.98,3.15
Baingan Bharta ,"rice, lentils, vegetables","vegetables, lentils, rice",205.82,8.77,7.09
Dhokla ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",232.97,19.69,4.21
Medu Vada ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",323,18.27,5.25
Tandoori Chicken ,"green gram, spices, ginger","green gram, spices, ginger",297.68,9.78,6.84
Palak Paneer ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",555.78,13.44,8.04
Misal Pav ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",345.38,6.87,6.33
Baingan Bharta ,"tapioca, peanuts, spices","peanuts, spices, tapioca",547.65,10.28,2.43
Samosa ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",430.83,16.48,9.67
Palak Paneer ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",521.79,20.92,3.89
Dosa ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",229.49,25.87,3.65
Baingan Bharta ,"cabbage, gram flour, spices","cabbage, spices, gram flour",482.26,29.63,2.26
Pani Puri ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",562.51,15.58,1.74
Mutton Rogan Josh ,"gram flour, spices, yogurt","yogurt, spices, gram flour",370.11,8.08,9.3
Pani Puri ,"green gram, spices, ginger","green gram, spices, ginger",290.39,25,7.35
Rajma Chawal ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",339.65,28.71,5.79
Chicken Curry ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",181.14,18.35,4.64
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",424.57,29.58,7.57
Kadai Paneer ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",226.05,10.06,7.66
Misal Pav ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",174.48,14.18,9
Baingan Bharta ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",378.48,6.07,4.91
Sev Puri ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",443.64,12.6,8.4
Upma ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",191.17,20.93,6.95
Pesarattu ,"cabbage, gram flour, spices","cabbage, spices, gram flour",361.74,25.47,6
Pav Bhaji ,"okra, onion, spices, oil","onion, oil, spices, okra",296.16,24.9,8.67
Dosa ,"gram flour, spices, yogurt","yogurt, spices, gram flour",394.05,19.72,3.55
Idli ,"okra, onion, spices, oil","onion, oil, spices, okra",578.38,14.38,6.32
Handvo ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",215.79,9.03,1.08
Vada ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",478.29,16.23,9.85
Khichdi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",539.72,17.17,5.91
Khandvi ,"vegetables, spices, rice","vegetables, spices, rice",172.18,27.34,9.82
Khichdi ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",303.04,28.59,3.55
Vada ,"okra, onion, spices, oil","onion, oil, spices, okra",562.68,5.69,8.74
Vada ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",205.09,15.64,5.17
Masoor Dal ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",326.31,19.92,3.5
Sev Puri ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",336.72,28.09,3.81
Pani Puri ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",537.7,13.76,4.65
Samosa ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",548.45,24.16,7.18
Vada ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",574.64,7.11,1.52
Khandvi ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",308.55,24.54,6.21
Baingan Bharta ,"lentils, spices, rice flour","lentils, spices, rice flour",279.29,22.45,1.95
Misal Pav ,"gram flour, spices, yogurt","yogurt, spices, gram flour",395.75,20.76,6.11
Sev Puri ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",156.73,7.92,3.48
Khandvi ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",274.66,5.57,1.64
Rajma Chawal ,"green gram, spices, ginger","green gram, spices, ginger",367.23,12.22,1.33
Pesarattu ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",452.75,7.62,6.23
Poha ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",231.76,11.29,4.24
Khandvi ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",370.04,18.27,1.41
Idli ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",286.53,21.42,2.16
Undhiyu ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",166.01,24.97,3.22
Sabudana Khichdi ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",407.3,22.17,8.74
Vegetable Biryani ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",276.83,25.62,4.2
Baingan Bharta ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",375.14,9.11,7.37
Mutton Rogan Josh ,"lentils, spices, rice flour","lentils, spices, rice flour",559.65,14.15,8.81
Bhindi Masala ,"green gram, spices, ginger","green gram, spices, ginger",373.69,22.94,4.64
Khandvi ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",335.78,17.52,6.9
Handvo ,"rice, lentils, vegetables","vegetables, lentils, rice",498.67,20.83,6.38
Sev Puri ,"okra, onion, spices, oil","onion, oil, spices, okra",598.48,18.01,7.81
Idli ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",565.31,16.86,7.35
Aloo Paratha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",594.35,22.81,7.76
Dosa ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",432.11,5.91,3.41
Samosa ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",554.84,8.12,1.37
Upma ,"vegetables, spices, rice","vegetables, spices, rice",522.91,20.28,3
Misal Pav ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",544.72,5.65,4.89
Bhindi Masala ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",272.29,7.13,6.95
Bhel Puri ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",157.42,11.82,5.82
Kadai Paneer ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",248.56,15.97,1.6
Misal Pav ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",544.45,25.81,6.89
Bhindi Masala ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",291.91,15.07,6.22
Khichdi ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",297.44,24.39,7.59
Pesarattu ,"vegetables, spices, rice","vegetables, spices, rice",459.46,18.47,6.47
Baingan Bharta ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",158.23,28.24,6.78
Mutton Rogan Josh ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",248.1,19.13,3.54
Khandvi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",172.11,12.35,5.21
Bhel Puri ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",576.34,18.86,2.06
Chicken Curry ,"urad dal, rice flour, spices","urad dal, spices, rice flour",519.04,28.76,4.71
Vegetable Biryani ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",152.5,11.74,5.98
Chole Bhature ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",486.65,9.4,6.76
Chicken Curry ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",369.43,26.64,6.91
Masoor Dal ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",507.98,24.11,6.22
Chole Bhature ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",475.27,8.44,8.93
Undhiyu ,"urad dal, rice flour, spices","urad dal, spices, rice flour",341.86,26.82,3
Samosa ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",496.98,5.31,6.09
Dosa ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",237.73,23.04,4.63
Undhiyu ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",405.76,12.66,3.11
Baingan Bharta ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",176.08,9.48,7.6
Tandoori Chicken ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",222.38,26.36,1.88
Aloo Paratha ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",275.3,6.44,3.74
Paneer Butter Masala ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",366.86,12.31,7.48
Vegetable Biryani ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",572.75,16.95,3.95
Bhel Puri ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",575.59,15.07,6.99
Bhel Puri ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",276.41,27.73,4.7
Masoor Dal ,"vegetables, spices, rice","vegetables, spices, rice",588.95,5.53,3.4
Thepla ,"okra, onion, spices, oil","onion, oil, spices, okra",461.27,9.91,5.28
Pani Puri ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",399.19,12.36,5.29
Idli ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",269.14,22.15,9.51
Khichdi ,"tapioca, peanuts, spices","peanuts, spices, tapioca",459.22,24.93,3.8
Mutton Rogan Josh ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",381.32,7.79,8.84
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",225.95,25.57,1.9
Thepla ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",478.6,9.47,3.93
Khichdi ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",189.71,12.49,2.31
Aloo Paratha ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",353.34,19.74,9.48
Chole Bhature ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",231.45,26.5,9.58
Misal Pav ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",541.97,17.31,3.5
Bhel Puri ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",157.65,24.09,4.22
Mutton Rogan Josh ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",596.62,9.17,1.67
Vada ,"vegetables, spices, rice","vegetables, spices, rice",355.04,9.64,1.94
Bhindi Masala ,"tapioca, peanuts, spices","peanuts, spices, tapioca",577.27,5,9.84
Mutton Rogan Josh ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",555.72,23.35,6.31
Handvo ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",496.44,9.53,3.42
Sabudana Khichdi ,"okra, onion, spices, oil","onion, oil, spices, okra",503.34,7.02,2.6
Pesarattu ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",193.72,16.9,6.73
Upma ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",544.37,26.88,4.38
Bhel Puri ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",586.19,25.91,3.24
Khandvi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",281.91,18.73,4.55
Vada ,"green gram, spices, ginger","green gram, spices, ginger",154.63,7.63,7.49
Vada ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",223.67,12.84,3.44
Upma ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",562.45,26.86,1.46
Khandvi ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",485.86,26.04,3.74
Bhindi Masala ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",433.48,11.44,7.04
Sev Puri ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",436.28,13.22,7.25
Bhindi Masala ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",570.27,5.29,5.72
Masoor Dal ,"cabbage, gram flour, spices","cabbage, spices, gram flour",533.57,13.23,6.63
Handvo ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",482.76,8.88,2.09
Tandoori Chicken ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",524.31,17.17,7.94
Sev Puri ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",332.84,20.93,7.18
Khichdi ,"lentils, spices, rice flour","lentils, spices, rice flour",445.88,27.4,8.14
Poha ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",563.35,23.41,3.91
Paneer Butter Masala ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",315.22,20,6.63
Bhindi Masala ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",299.18,21.02,4.4
Aloo Paratha ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",309.24,19.6,9.94
Upma ,"okra, onion, spices, oil","onion, oil, spices, okra",233.18,12.95,1.84
Bhindi Masala ,"cabbage, gram flour, spices","cabbage, spices, gram flour",465.62,22.92,7.68
Baingan Bharta ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",421.56,26.2,2.51
Handvo ,"rice, lentils, vegetables","vegetables, lentils, rice",493.95,16.24,7.8
Samosa ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",457.15,26.04,7.72
Vegetable Biryani ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",417.96,16.27,9.75
Idli ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",427.13,20.72,2.44
Idli ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",470.69,19.27,1.12
Poha ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",446.8,9.82,4.3
Masoor Dal ,"green gram, spices, ginger","green gram, spices, ginger",175.33,18.51,9.51
Undhiyu ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",224.68,17.83,4
Dosa ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",389.33,15.32,8.44
Misal Pav ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",490.72,7.78,6.38
Palak Paneer ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",418.54,16.44,2.99
Sev Puri ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",160.18,7.73,2.15
Dhokla ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",328.08,11.08,9.55
Khichdi ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",507.69,19.87,3.76
Pav Bhaji ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",168.67,5.89,9.4
Baingan Bharta ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",378.85,29.13,1.23
Misal Pav ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",390.51,8.46,2.96
Bhindi Masala ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",305.81,12.9,8.2
Handvo ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",279.05,15.41,4.89
Pav Bhaji ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",515.46,14.86,8.81
Undhiyu ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",548.09,27.04,2.3
Sabudana Khichdi ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",413.48,25.21,4.55
Pani Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",442.53,7.24,5
Bhel Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",584.6,18.31,8.13
Undhiyu ,"gram flour, spices, yogurt","yogurt, spices, gram flour",254.34,15.41,6.47
Vada ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",441.62,16.31,8.63
Medu Vada ,"okra, onion, spices, oil","onion, oil, spices, okra",422.08,23.47,9.68
Aloo Paratha ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",588.44,9.28,2.44
Misal Pav ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",184.28,25.71,1.57
Medu Vada ,"okra, onion, spices, oil","onion, oil, spices, okra",529.94,22.62,4.33
Aloo Paratha ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",288.9,28.69,1.2
Handvo ,"okra, onion, spices, oil","onion, oil, spices, okra",281.71,22.89,3.07
Undhiyu ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",260.67,20.97,7.64
Kadai Paneer ,"okra, onion, spices, oil","onion, oil, spices, okra",559.94,12.5,1.74
Rajma Chawal ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",460.8,7.13,8.21
Sev Puri ,"rice, lentils, vegetables","vegetables, lentils, rice",346.94,15.94,7.19
Palak Paneer ,"lentils, spices, rice flour","lentils, spices, rice flour",228.72,17.84,1.57
Upma ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",365.85,18.13,3.72
Pani Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",188.14,27.99,1.16
Undhiyu ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",207.72,16.09,5.86
Bhel Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",516.59,29.03,2.08
Pesarattu ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",336.19,21.23,7.45
Sev Puri ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",594.37,21.74,9.54
Dhokla ,"tapioca, peanuts, spices","peanuts, spices, tapioca",232.88,25.67,8.94
Poha ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",298.4,6.56,8
Thepla ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",511.67,20.49,4.57
Khichdi ,"green gram, spices, ginger","green gram, spices, ginger",183.59,15.79,9.86
Dhokla ,"urad dal, rice flour, spices","urad dal, spices, rice flour",312.86,6.34,3.3
Sev Puri ,"rice, lentils, vegetables","vegetables, lentils, rice",419.18,20.58,5.56
Aloo Paratha ,"okra, onion, spices, oil","onion, oil, spices, okra",240.44,9.73,3.43
Sabudana Khichdi ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",305.56,12.51,1.35
Medu Vada ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",479.49,9.23,8.31
Khandvi ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",450.17,16.04,8.18
Poha ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",336.71,8.01,9.67
Palak Paneer ,"lentils, spices, rice flour","lentils, spices, rice flour",446.48,5.36,5.81
Misal Pav ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",212.01,24.76,7.72
Palak Paneer ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",565.8,20.66,8.49
Chicken Curry ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",305.51,12.51,1.18
Vada ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",341.81,23.42,3.6
Pani Puri ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",348.42,9.59,7.54
Aloo Paratha ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",367.17,22.18,9.2
Bhindi Masala ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",589.79,16.51,1.86
Aloo Paratha ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",321.25,16.87,3.26
Khichdi ,"gram flour, spices, yogurt","yogurt, spices, gram flour",185.87,18.15,3.5
Khichdi ,"urad dal, rice flour, spices","urad dal, spices, rice flour",165.22,13.02,1.84
Chicken Curry ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",451.71,25.16,7.07
Mutton Rogan Josh ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",564.84,9.71,1.16
Sabudana Khichdi ,"urad dal, rice flour, spices","urad dal, spices, rice flour",330.22,13.35,4.36
Masoor Dal ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",377.9,14.97,6.32
Chole Bhature ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",357.47,16.77,8.7
Undhiyu ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",230.17,27.9,1.18
Rajma Chawal ,"tapioca, peanuts, spices","peanuts, spices, tapioca",450.01,29.44,3.52
Dosa ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",591.96,18.25,7.45
Khichdi ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",296.18,14.04,4.91
Bhel Puri ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",502.78,19.56,2.3
Khandvi ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",457.42,26.38,5.72
Pani Puri ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",281.16,20.15,3.01
Medu Vada ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",593.49,18.63,8.74
Pani Puri ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",466.59,13.43,9.08
Baingan Bharta ,"green gram, spices, ginger","green gram, spices, ginger",387.63,22.52,7.49
Dhokla ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",345.76,26.56,5.66
Tandoori Chicken ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",483.72,15.46,9.94
Dhokla ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",199.23,26.88,6.3
Vada ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",437.48,19.45,9.01
Upma ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",296.36,22.92,3.98
Vegetable Biryani ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",331.02,18.85,5.46
Handvo ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",219.99,24.78,2.13
Chicken Curry ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",460.5,5.26,1.16
Pav Bhaji ,"lentils, spices, rice flour","lentils, spices, rice flour",339.18,21.94,5.2
Vegetable Biryani ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",546.45,13.63,6.61
Pani Puri ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",514.19,6.08,3.19
Mutton Rogan Josh ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",225.72,27.08,2.84
Handvo ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",539.29,29.43,5.74
Paneer Butter Masala ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",405.23,16.68,2.04
Handvo ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",282.97,8.68,2.56
Idli ,"rice, lentils, vegetables","vegetables, lentils, rice",551.72,24.56,4.68
Palak Paneer ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",408.45,18.85,7.09
Upma ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",170.91,25.2,3.65
Dhokla ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",487.2,12.45,5.59
Upma ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",466.42,11.43,8.53
Samosa ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",202.6,28.68,4.59
Mutton Rogan Josh ,"urad dal, rice flour, spices","urad dal, spices, rice flour",587.73,23.26,5.36
Bhel Puri ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",480.24,25.82,4.65
Vada ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",155.25,19.35,7.03
Sabudana Khichdi ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",317.89,9.42,8.28
Bhel Puri ,"okra, onion, spices, oil","onion, oil, spices, okra",372.91,23.55,2.43
Vegetable Biryani ,"tapioca, peanuts, spices","peanuts, spices, tapioca",451,20.85,5.93
Rajma Chawal ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",360.71,5.08,6.96
Khichdi ,"vegetables, spices, rice","vegetables, spices, rice",156.67,28.52,3.4
Rajma Chawal ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",588.79,24.22,2.52
Pav Bhaji ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",358.09,6.37,7.18
